job_id,job_title,company,location,job_type,description,date_posted,source
1,Data Analyst,TechNova Solutions,London (Hybrid),Full-time,"We are looking for a Data Analyst to join our growing analytics team. You will be responsible for building dashboards and reporting solutions for key business stakeholders. Requirements: proficiency in Python and SQL, experience with Power BI or Tableau for data visualization, familiarity with Excel for ad hoc analysis, strong communication skills to present insights to non-technical stakeholders. Nice to have: experience with pandas and numpy, basic understanding of statistics and hypothesis testing, problem solving mindset.",2024-11-01,synthetic
2,Data Scientist,Meridian AI,Remote (UK),Full-time,"Meridian AI is hiring a Data Scientist to develop predictive models for our SaaS platform. You will work on classification and regression tasks using Python and scikit-learn. Key responsibilities include feature engineering, model evaluation, and working with cross-functional teams to deploy solutions. Requirements: Python, pandas, scikit-learn, SQL, strong analytical thinking. Experience with xgboost or lightgbm is a plus. Familiarity with MLflow for experiment tracking is desirable.",2024-11-03,synthetic
3,Machine Learning Engineer,Orbital Systems,Manchester (Hybrid),Full-time,"We need an ML Engineer to build and maintain production machine learning pipelines. You will design ETL workflows, manage model deployment with Docker and FastAPI, and monitor model performance in production. Stack: Python, scikit-learn, FastAPI, Docker, PostgreSQL, GitHub CI/CD. Experience with MLflow and model monitoring is strongly preferred. You should be comfortable working in an Agile team and communicating with product managers.",2024-11-05,synthetic
4,AI Engineer,Vertex Intelligence,London (On-site),Full-time,"Vertex Intelligence is building next-generation AI products and needs an AI Engineer to help design and implement LLM-based systems. You will work with large language models, implement retrieval augmented generation (RAG) pipelines, and integrate AI features into our product. Requirements: Python, experience with Hugging Face transformers, LLM APIs, vector databases, and prompt engineering. Knowledge of FastAPI for backend integration and Docker for deployment is essential. Generative AI experience is a must.",2024-11-07,synthetic
5,BI Analyst,RetailCore Ltd,Birmingham (Hybrid),Full-time,"RetailCore is seeking a BI Analyst to own our business intelligence function. You will build and maintain dashboards in Power BI, write SQL queries for data extraction, and work closely with the finance and operations teams. Requirements: Power BI, SQL, Excel, strong stakeholder management skills, and the ability to translate business questions into data insights. Python experience is a bonus. A background in retail or e-commerce analytics is preferred.",2024-11-09,synthetic
6,GenAI Engineer,FutureStack Labs,Remote,Contract,"FutureStack Labs is looking for a GenAI Engineer to prototype and ship generative AI features. You will design RAG systems using open-source LLMs, build embedding pipelines with sentence-transformers, and integrate vector search using FAISS or similar tools. Stack: Python, Hugging Face, LangChain, FAISS, FastAPI, Docker. You should be comfortable with NLP concepts, prompt engineering, and evaluating LLM outputs. Experience with Streamlit for rapid prototyping is a plus.",2024-11-11,synthetic
7,Data Engineer,CloudStream Analytics,Edinburgh (Hybrid),Full-time,"We are hiring a Data Engineer to design and maintain our data infrastructure. Responsibilities include building and managing ETL pipelines, maintaining our data warehouse, and optimising SQL queries. Requirements: Python, SQL, Apache Airflow, PostgreSQL, and experience with cloud platforms such as AWS or GCP. Knowledge of Spark or dbt is advantageous. You should have strong problem solving skills and be confident working with large datasets.",2024-11-13,synthetic
8,Risk Data Analyst,GlobalBank Financial,London (On-site),Full-time,"GlobalBank Financial is looking for a Risk Data Analyst to support the credit risk team. You will extract, clean, and analyse large datasets to support risk reporting and regulatory requirements. Requirements: SQL, Python, Excel, and strong communication skills for presenting to senior stakeholders. Familiarity with statistical methods such as logistic regression and probability modelling is expected. Experience in financial services or banking is preferred. Power BI for reporting is a plus.",2024-11-15,synthetic
9,Product Data Analyst,GrowthLoop,Remote (UK),Full-time,"GrowthLoop is a product-led growth company seeking a Product Data Analyst to own our product analytics function. You will analyse user behaviour data, build funnel reports, run A/B tests, and collaborate closely with product managers. Requirements: SQL, Python, data visualization (Tableau or Looker), A/B testing, and strong business acumen. Experience with product analytics tools and a good understanding of SaaS metrics is essential.",2024-11-17,synthetic
10,Junior Data Scientist,Insightful AI,Leeds (Hybrid),Full-time,"Insightful AI is offering an entry-level opportunity for a Junior Data Scientist eager to grow in a collaborative environment. You will assist with data cleaning, exploratory data analysis, and building baseline machine learning models. Requirements: Python, pandas, numpy, scikit-learn, SQL, and a willingness to learn. Exposure to NLP or deep learning is a bonus. Strong analytical thinking and the ability to communicate findings clearly are essential. This is a great role for someone building their data science portfolio.",2024-11-19,synthetic
