job_id,job_title,company,location,job_type,description,date_posted,source,salary_min,salary_max,currency,experience_level,remote_type,employment_type,industry,country,application_url
1001,Data Analyst,BlueOrbit Analytics,Dhaka,Full-time,"Analyze sales and operations data using Python, SQL, Pandas, and Excel. Build Power BI dashboards, create data visualization reports, and communicate findings to business stakeholders with strong problem solving.",2026-04-01,synthetic_demo,45000,65000,BDT,Junior,On-site,Full-time,Retail Analytics,Bangladesh,
1002,BI Analyst,NorthLeaf Metrics,Chittagong,Full-time,"Design BI reporting pipelines with SQL and Power BI, maintain Tableau dashboards, and partner with finance leaders. Requires stakeholder management, communication, and data visualization experience.",2026-04-02,synthetic_demo,55000,80000,BDT,Mid,Hybrid,Full-time,Business Intelligence,Bangladesh,
1003,Junior Data Analyst,SkyRiver Labs,Sylhet,Full-time,"Support analytics projects with Excel, SQL, and Python. Prepare weekly KPI tracking, clean datasets with Pandas and NumPy, and assist in presentation building for cross-functional reviews.",2026-04-03,synthetic_demo,38000,52000,BDT,Junior,On-site,Full-time,EdTech,Bangladesh,
1004,Product Data Analyst,CloudMint Products,Remote,Full-time,"Track user funnels and A/B testing results using SQL and Python. Build Streamlit insights dashboards, create data visualization stories, and provide product stakeholders with clear recommendations.",2026-04-04,synthetic_demo,70000,95000,USD,Mid,Remote,Full-time,SaaS,Global,
1005,Risk Data Analyst,Granite Shield Finance,London,Full-time,"Build risk scorecards using SQL, Python, and regression models. Produce Power BI governance dashboards, present insights to risk committees, and ensure communication with compliance teams.",2026-04-05,synthetic_demo,50000,68000,GBP,Mid,Hybrid,Full-time,FinTech,United Kingdom,
1006,Data Scientist,VectorNest AI,Singapore,Full-time,"Develop machine learning models with Scikit-learn, XGBoost, and LightGBM. Perform classification and clustering experiments, deploy prototypes with FastAPI, and communicate outcomes clearly.",2026-04-06,synthetic_demo,7000,9800,SGD,Mid,Hybrid,Full-time,AI Products,Singapore,
1007,Junior Data Scientist,BrightField Insights,Toronto,Full-time,"Assist senior scientists with Python, Pandas, NumPy, and Scikit-learn workflows. Build regression baselines, evaluate classification metrics, and document project findings for stakeholders.",2026-04-07,synthetic_demo,65000,85000,CAD,Junior,Hybrid,Full-time,Consulting,Canada,
1008,Machine Learning Engineer,TerraPulse Systems,Sydney,Full-time,"Build end-to-end machine learning services using Python, FastAPI, Docker, and MLflow. Implement ETL and data pipeline jobs, monitor model quality, and optimize deployment reliability.",2026-04-08,synthetic_demo,120000,150000,AUD,Mid,Hybrid,Full-time,AI Infrastructure,Australia,
1009,AI Engineer,NovaSignal Labs,Melbourne,Full-time,"Create AI applications using Python, LLM APIs, RAG retrieval patterns, and vector database tooling. Integrate services with FastAPI, test on Streamlit demos, and iterate with product teams.",2026-04-09,synthetic_demo,125000,155000,AUD,Senior,Hybrid,Full-time,GenAI,Australia,
1010,GenAI Engineer,PixelHarbor Dynamics,Perth,Contract,"Design generative AI assistants with NLP, LLM, RAG, and transformers. Build vector database indexing pipelines, package with Docker, and track experiments with MLflow.",2026-04-10,synthetic_demo,110000,145000,AUD,Senior,Remote,Contract,GenAI,Australia,
1011,NLP Engineer,EchoQuill Technologies,London,Full-time,"Develop NLP pipelines with PyTorch and TensorFlow for text classification and retrieval tasks. Implement RAG services, evaluate LLM responses, and maintain FastAPI endpoints.",2026-04-11,synthetic_demo,62000,82000,GBP,Mid,Hybrid,Full-time,Language AI,United Kingdom,
1012,Data Engineer,IronLake Data,Singapore,Full-time,"Build robust ETL workflows with Airflow, Spark, PostgreSQL, and Python. Maintain data pipeline reliability, optimize warehouse jobs, and support analytics consumers with dependable datasets.",2026-04-12,synthetic_demo,6500,9000,SGD,Mid,Hybrid,Full-time,Data Platform,Singapore,
1013,Analytics Engineer,LumaAxis Analytics,Toronto,Full-time,"Transform raw data into trusted marts using SQL, Python, and dbt-like patterns. Build Tableau reporting layers, maintain data quality checks, and communicate with finance stakeholders.",2026-04-13,synthetic_demo,78000,105000,CAD,Mid,Hybrid,Full-time,Analytics Engineering,Canada,
1014,MLOps Engineer,OrbitForge Compute,Sydney,Full-time,"Own model deployment pipelines with Docker, MLflow, Airflow, and PostgreSQL. Automate monitoring, support CI/CD, and work closely with machine learning teams to improve reliability.",2026-04-14,synthetic_demo,130000,165000,AUD,Senior,Hybrid,Full-time,MLOps,Australia,
1015,Computer Vision Engineer,VistaGrid Robotics,Melbourne,Full-time,"Train computer vision models with PyTorch and TensorFlow, build classification pipelines, and deploy APIs using FastAPI and Docker. Collaborate with product and research teams.",2026-04-15,synthetic_demo,128000,160000,AUD,Senior,On-site,Full-time,Robotics,Australia,
1016,Data Analyst,MangoByte Retail,Dhaka,Full-time,"Create weekly performance dashboards using Excel, SQL, and Power BI. Analyze campaign effectiveness with Python and Pandas, and communicate insights for merchandising decisions.",2026-04-16,synthetic_demo,47000,64000,BDT,Mid,Hybrid,Full-time,Retail,Bangladesh,
1017,BI Analyst,QuantaPeaks Advisory,Chittagong,Full-time,"Develop executive scorecards with Tableau and Power BI, automate SQL extracts, and maintain stakeholder management routines across sales and operations teams.",2026-04-17,synthetic_demo,52000,76000,BDT,Mid,On-site,Full-time,Consulting,Bangladesh,
1018,Junior Data Analyst,SilverTide Services,Sylhet,Full-time,"Support ETL checks and spreadsheet automation with Excel, SQL, and Python. Build simple Streamlit reports and improve communication of metrics for non-technical users.",2026-04-18,synthetic_demo,36000,50000,BDT,Junior,On-site,Full-time,Services,Bangladesh,
1019,Product Data Analyst,FuseOrbit Mobile,Remote,Full-time,"Analyze product adoption with SQL, Python, and data visualization. Run A/B testing analysis, track retention metrics, and present recommendations to product managers.",2026-04-19,synthetic_demo,72000,98000,USD,Mid,Remote,Full-time,Mobile SaaS,Global,
1020,Risk Data Analyst,CobaltGuard Bank,London,Full-time,"Use regression and classification techniques in Python and SQL to improve risk monitoring. Publish Power BI reports and maintain strong communication with governance stakeholders.",2026-04-20,synthetic_demo,51000,70000,GBP,Mid,Hybrid,Full-time,Banking,United Kingdom,
1021,Data Scientist,AetherWave Health,Singapore,Full-time,"Build machine learning pipelines for demand forecasting with Scikit-learn and LightGBM. Use clustering for segmentation, and produce explainable analysis for leadership teams.",2026-04-21,synthetic_demo,7200,10200,SGD,Mid,Hybrid,Full-time,HealthTech,Singapore,
1022,Junior Data Scientist,MapleCircuit Labs,Toronto,Full-time,"Prepare datasets with Pandas and NumPy, build baseline classification and regression models, and create data visualization summaries for experiment reviews.",2026-04-22,synthetic_demo,66000,86000,CAD,Junior,Hybrid,Full-time,Research,Canada,
1023,Machine Learning Engineer,RubyLens Systems,Sydney,Full-time,"Develop ML APIs with FastAPI, package services with Docker, and track experiments in MLflow. Build data pipeline components and monitor production model behavior.",2026-04-23,synthetic_demo,122000,152000,AUD,Mid,Hybrid,Full-time,AI Platform,Australia,
1024,AI Engineer,SignalCrest Labs,Melbourne,Full-time,"Create GenAI features using NLP, LLM orchestration, RAG retrieval, and vector database search. Build robust backend services with FastAPI and PostgreSQL.",2026-04-24,synthetic_demo,126000,158000,AUD,Senior,Hybrid,Full-time,AI Software,Australia,
1025,GenAI Engineer,NeonMosaic Intelligence,Perth,Contract,"Prototype LLM assistants with transformers and retrieval augmented generation. Build deployment workflows with Docker and Streamlit demos, and iterate with stakeholder feedback.",2026-04-25,synthetic_demo,112000,148000,AUD,Senior,Remote,Contract,GenAI,Australia,
1026,NLP Engineer,TextForge Dynamics,London,Full-time,"Train NLP and LLM systems using PyTorch, TensorFlow, and vector database indexing. Evaluate RAG quality and support model deployment with FastAPI and Docker.",2026-04-26,synthetic_demo,63000,84000,GBP,Senior,Hybrid,Full-time,Language Technology,United Kingdom,
1027,Data Engineer,GranularWorks Data,Singapore,Full-time,"Implement ETL, Airflow scheduling, Spark batch jobs, and PostgreSQL optimization. Build resilient data pipelines and collaborate with analytics engineers for model-ready datasets.",2026-04-27,synthetic_demo,6800,9400,SGD,Mid,Hybrid,Full-time,Data Engineering,Singapore,
1028,Analytics Engineer,PineVector Insights,Toronto,Full-time,"Design metrics layers with SQL and Python, improve dashboard reliability in Tableau, and automate reporting workflows for cross-functional stakeholders.",2026-04-28,synthetic_demo,80000,108000,CAD,Mid,Hybrid,Full-time,Analytics,Canada,
1029,MLOps Engineer,CloudHarbor Compute,Sydney,Full-time,"Operationalize machine learning services with Docker, MLflow, CI/CD, and Airflow. Build monitoring alerts, optimize model deployment pipelines, and support data scientists.",2026-04-29,synthetic_demo,132000,168000,AUD,Senior,Hybrid,Full-time,Cloud AI,Australia,
1030,Computer Vision Engineer,FramePulse Robotics,Melbourne,Full-time,"Develop computer vision models for detection and classification using PyTorch and TensorFlow. Integrate inference APIs with FastAPI and manage Docker deployment.",2026-04-30,synthetic_demo,129000,162000,AUD,Senior,On-site,Full-time,Robotics,Australia,
1031,Data Analyst,UrbanMetric Partners,Dhaka,Full-time,"Analyze operational data with SQL and Excel, create Power BI dashboards, and use Python plus Pandas for ad hoc analysis. Requires communication and stakeholder management.",2026-05-01,synthetic_demo,46000,66000,BDT,Mid,Hybrid,Full-time,Operations,Bangladesh,
1032,BI Analyst,AtlasScope Consulting,Chittagong,Full-time,"Build executive dashboards in Tableau and Power BI, automate SQL reporting jobs, and deliver clear data visualization for strategic planning teams.",2026-05-02,synthetic_demo,53000,78000,BDT,Mid,On-site,Full-time,Consulting,Bangladesh,
1033,Junior Data Analyst,HorizonByte Labs,Sylhet,Full-time,"Assist with data pipeline QA, maintain Excel tracking sheets, write SQL queries, and produce Python-based summaries. Strong problem solving and communication are essential.",2026-05-03,synthetic_demo,39000,52000,BDT,Junior,On-site,Full-time,Technology,Bangladesh,
1034,Product Data Analyst,VividRoute SaaS,Remote,Full-time,"Measure user journey conversion using SQL, Python, and clustering analysis. Build Streamlit experiment trackers and provide insights for roadmap prioritization.",2026-05-04,synthetic_demo,73000,99000,USD,Mid,Remote,Full-time,SaaS,Global,
1035,Risk Data Analyst,DeltaShield Capital,London,Full-time,"Model risk trends with regression and classification methods, maintain SQL data quality checks, and publish governance dashboards in Power BI.",2026-05-05,synthetic_demo,52000,71000,GBP,Mid,Hybrid,Full-time,Finance,United Kingdom,
1036,Data Scientist,OrchidPeak AI,Singapore,Full-time,"Build predictive machine learning models with Scikit-learn, XGBoost, and LightGBM. Perform feature engineering, data visualization, and stakeholder-ready model storytelling.",2026-05-06,synthetic_demo,7400,10400,SGD,Mid,Hybrid,Full-time,AI Consulting,Singapore,
1037,Junior Data Scientist,RiverMap Analytics,Toronto,Full-time,"Create exploratory analysis notebooks with Python, Pandas, and NumPy. Support regression model evaluations and communicate findings in concise business language.",2026-05-07,synthetic_demo,67000,87000,CAD,Junior,Hybrid,Full-time,Analytics,Canada,
1038,Machine Learning Engineer,NeuralBridge Systems,Sydney,Full-time,"Engineer ML services with FastAPI, Docker, and MLflow tracking. Build ETL components, maintain PostgreSQL feature stores, and automate inference monitoring.",2026-05-08,synthetic_demo,123000,153000,AUD,Mid,Hybrid,Full-time,Machine Learning,Australia,
1039,AI Engineer,QuillNova Intelligence,Melbourne,Full-time,"Develop intelligent assistants with LLM pipelines, NLP tooling, and vector database retrieval. Deliver RAG-backed APIs with FastAPI and coordinate with product stakeholders.",2026-05-09,synthetic_demo,127000,159000,AUD,Senior,Hybrid,Full-time,Generative AI,Australia,
1040,GenAI Engineer,BrightVoxel Labs,Perth,Contract,"Prototype enterprise chat systems with transformers, RAG, and prompt design. Containerize services with Docker and build Streamlit demos for fast feedback.",2026-05-10,synthetic_demo,113000,149000,AUD,Senior,Remote,Contract,GenAI,Australia,
1041,NLP Engineer,ScribePulse Technologies,London,Full-time,"Build NLP classification systems with PyTorch and TensorFlow, evaluate LLM output quality, and maintain vector database pipelines for retrieval applications.",2026-05-11,synthetic_demo,64000,85000,GBP,Senior,Hybrid,Full-time,Language AI,United Kingdom,
1042,Data Engineer,GridStone Data,Singapore,Full-time,"Design Spark and Airflow jobs, manage ETL orchestration, optimize PostgreSQL performance, and support downstream analytics with reliable data pipelines.",2026-05-12,synthetic_demo,6900,9500,SGD,Mid,Hybrid,Full-time,Data Platform,Singapore,
1043,Analytics Engineer,MetricMosaic Insights,Toronto,Full-time,"Develop semantic models with SQL and Python, support Tableau and Power BI consumption, and enforce quality checks across stakeholder-facing metrics.",2026-05-13,synthetic_demo,81000,109000,CAD,Mid,Hybrid,Full-time,Business Analytics,Canada,
1044,MLOps Engineer,ModelHarbor Compute,Sydney,Full-time,"Manage model deployment lifecycle using Docker, MLflow, Airflow, and CI/CD. Build alerting systems and improve production reliability for machine learning services.",2026-05-14,synthetic_demo,133000,169000,AUD,Senior,Hybrid,Full-time,MLOps,Australia,
